Cidade,Variável,Média,Mediana,Mínimo,Máximo,Q1,Q3,Amplitude,Variância,Desvio-Padrão,CV (%),Outliers
Teresina,Temperatura Média (°C),26.6,26.47,24.07,31.03,25.79,27.22,6.96,1.7,1.3,4.9,4
Teresina,Precipitação (mm),10.15,6.4,0.0,50.4,1.0,15.33,50.4,136.25,11.67,114.96,4
Fortaleza,Temperatura Média (°C),26.7,26.55,24.83,28.99,26.08,27.45,4.16,0.91,0.95,3.57,0
Fortaleza,Precipitação (mm),7.1,3.75,0.0,37.1,1.7,11.43,37.1,58.98,7.68,108.15,3
São Paulo,Temperatura Média (°C),23.33,23.25,19.79,28.49,21.96,24.69,8.7,3.66,1.91,8.2,0
São Paulo,Precipitação (mm),6.08,2.4,0.0,51.8,0.7,9.25,51.8,80.0,8.94,147.08,5
